AAPL,MSFT,TSLA,ZM,date
324.32,168.18,581.0,73.57,2020-01-29
323.8762,172.74,640.93,74.55,2020-01-30
309.33,170.17,650.48,76.31,2020-01-31
308.71,174.39,780.28,87.66,2020-02-03
318.86,180.13,887.72,85.7,2020-02-04
321.58,179.94,734.72,87.05,2020-02-05
325.21,183.64,748.5,87.23,2020-02-06
320.04,183.95,747.9808,88.65,2020-02-07
321.54,188.74,770.8467,89.66,2020-02-10
319.61,184.44,774.02,88.64,2020-02-11
327.2,184.72,767.44,88.29,2020-02-12
324.91,183.76,803.86,89.81,2020-02-13
324.94,185.35,799.9724,90.892,2020-02-14
319.0,187.22,858.66,96.31,2020-02-18
323.62,187.28,916.96,103.88,2020-02-19
320.3,184.33,899.18,105.29,2020-02-20
313.03,178.56,901.0,101.913,2020-02-21
298.17,170.88,833.16,104.89,2020-02-24
288.08,168.05,799.11,107.084,2020-02-25
292.69,170.16,778.8,106.81,2020-02-26
273.04,158.0,678.85,113.6,2020-02-27
274.64,162.11,667.43,104.91,2020-02-28
298.82,172.85,743.69,113.06,2020-03-02
289.31,164.38,745.51,117.47,2020-03-03
302.76,170.54,749.5,116.72,2020-03-04
292.92,166.24,723.62,125.0,2020-03-05
288.98,161.57,703.39,114.33,2020-03-06
266.09,150.62,606.46,113.75,2020-03-09
285.69,161.03,645.0,108.4858,2020-03-10
275.3,153.56,633.905,110.26,2020-03-11
248.0,138.76,556.01,109.47,2020-03-12
278.06,158.85,546.2,107.5,2020-03-13
241.47,135.4144,444.9801,107.98,2020-03-16
252.85,146.57,430.0,111.04,2020-03-17
249.0,142.13,361.6,118.8002,2020-03-18
244.78,142.67,427.295,123.38,2020-03-19
228.74,136.77,427.53,130.4001,2020-03-20
223.43,135.56,434.29,159.56,2020-03-23
246.88,148.34,504.3,135.205,2020-03-24
245.465,146.85,539.175,138.11,2020-03-25
258.48,156.11,528.05,141.23,2020-03-26
247.62,149.61,514.56,151.7,2020-03-27
254.79,160.3,502.1,150.9,2020-03-30
254.3,157.64,524.48,146.085,2020-03-31
240.76,151.94,481.58,136.88,2020-04-01
244.93,155.26,454.47,121.8001,2020-04-02
241.43,153.8201,480.0,128.1999,2020-04-03
262.285,165.27,516.24,122.899,2020-04-06
259.385,163.49,545.47,113.625,2020-04-07
266.04,165.11,548.7,117.77,2020-04-08
267.96,165.19,573.01,124.505,2020-04-09
273.23,165.51,650.9899,136.02,2020-04-13
287.07,173.7,709.755,141.89,2020-04-14
284.45,171.94,729.5254,151.5,2020-04-15
286.72,177.07,745.6545,150.39,2020-04-16
282.74,178.6,753.65,149.98,2020-04-17
276.85,174.99,746.35,148.9899,2020-04-20
268.36,167.67,686.72,143.5,2020-04-21
276.67,173.575,731.0656,150.83,2020-04-22
274.87,171.43,705.63,169.0,2020-04-23
282.95,174.54,725.0,158.75,2020-04-24
283.25,174.03,798.92,164.55,2020-04-27
278.57,169.79,769.11,156.61,2020-04-28
287.83,177.3,799.84,146.46,2020-04-29
293.99,179.22,781.06,135.11,2020-04-30
289.07,174.5,701.31,138.61,2020-05-01
293.17,178.84,761.21,143.3,2020-05-04
297.78,180.76,768.06,144.82,2020-05-05
300.5,182.49,782.45,149.59,2020-05-06
303.75,183.6078,780.215,157.8,2020-05-07
310.1484,184.68,819.25,155.4197,2020-05-08
315.005,186.65,810.48,166.34,2020-05-11
311.51,182.38,809.21,161.05,2020-05-12
307.68,179.78,790.62,167.14,2020-05-13
309.7,180.61,803.04,167.97,2020-05-14
307.74,183.39,799.034,174.83,2020-05-15
314.89,184.9,813.51,164.69,2020-05-18
313.01,183.5,808.0,173.68,2020-05-19
319.16,185.66,815.46,175.48,2020-05-20
317.04,183.49,827.75,172.03,2020-05-21
318.89,183.51,816.4,171.05,2020-05-22
316.84,181.56,818.74,164.0,2020-05-26
318.08,181.81,819.955,162.15,2020-05-27
318.15,181.27,805.975,163.54,2020-05-28
318.76,183.96,834.1905,179.74,2020-05-29
321.76,182.86,897.875,204.14,2020-06-01
323.42,185.0,881.4,207.8701,2020-06-02
325.09,185.36,882.51,223.538,2020-06-03
322.25,182.95,864.27,210.3287,2020-06-04
331.54,187.5,885.335,207.5,2020-06-05
333.4402,188.47,948.45,209.74,2020-06-08
344.32,190.07,941.5524,205.43,2020-06-09
352.78,196.82,1024.974,221.0,2020-06-10
336.08,186.47,972.41,221.92,2020-06-11
337.655,188.14,936.25,224.49,2020-06-12
342.99,189.09,990.75,239.02,2020-06-15
352.26,193.67,981.51,242.56,2020-06-16
351.2438,194.2,990.56,236.75,2020-06-17
351.59,196.32,1004.02,242.01,2020-06-18
349.55,195.03,1000.57,243.53,2020-06-19
358.93,200.58,994.54,251.13,2020-06-22
366.37,201.889,1001.66,252.9,2020-06-23
360.06,197.84,960.85,255.78,2020-06-24
364.88,200.36,985.98,259.74,2020-06-25
353.69,196.33,960.76,256.6,2020-06-26
362.0,198.5,1009.89,248.64,2020-06-29
364.6,203.5,1079.0,253.55,2020-06-30
364.01,204.66,1119.54,259.23,2020-07-01
364.12,206.21,1208.8,261.74,2020-07-02
373.81,210.69,1371.0,260.9999,2020-07-06
372.64,208.24,1389.69,262.095,2020-07-07
381.44,212.84,1365.8054,266.29,2020-07-08
382.6599,214.4,1393.81,269.57,2020-07-09
383.52,213.65,1546.01,275.86,2020-07-10
381.91,207.1,1494.1,260.3,2020-07-13
388.21,208.39,1516.385,259.935,2020-07-14
